Order,Full Name,Ecosubsection,Ecosection,Ecoprovince,Ecosection_code,Ecoprovince_code
1,242A Puget Trough Section,242A,242A,242,1,1
2,242Aa Fraser Lowland Subsection,242Aa,242A,242,1,1
3,242Ab Eastern Puget Riverine Lowlands Subsection,242Ab,242A,242,1,1
4,242Ac San Juan Islands Subsection,242Ac,242A,242,1,1
5,242Ad Olympic Rainshadow Subsection,242Ad,242A,242,1,1
6,242Ae Eastern Puget Uplands Subsection,242Ae,242A,242,1,1
7,242Af Central Puget Lowlands Subsection,242Af,242A,242,1,1
8,242Ag Southern Puget Prairies Subsection,242Ag,242A,242,1,1
9,242Ah Cowlitz-Chehalis Foothills Subsection,242Ah,242A,242,1,1
10,242Ai Cowlitz-Newaukum Prairie Floodplains Subsection,242Ai,242A,242,1,1
11,242B Willamette Valley Section,242B,242B,242,2,1
12,242Ba Portland-Vancouver Basin Subsection,242Ba,242B,242,2,1
13,242Bb Prairie Terraces and Floodplains Subsection,242Bb,242B,242,2,1
14,242Bd Valley Foothills Subsection,242Bd,242B,242,2,1
15,M242 Cascade Mixed Forest - Coniferous Forest - Alpine Meadow Province,M242,M242,M242,3,2
16,M242A Oregon and Washington Coast Ranges Section,M242A,M242A,M242,4,2
17,M242Aa Coastal Lowlands and Uplands Subsection,M242Aa,M242A,M242,4,2
18,M242Ac Low Olympics Subsection,M242Ac,M242A,M242,4,2
19,M242Ad Volcanics Subsection,M242Ad,M242A,M242,4,2
20,M242Ae Outwash Subsection,M242Ae,M242A,M242,4,2
21,M242Af Willapa Hills Subsection,M242Af,M242A,M242,4,2
22,M242Ag Mid-Coastal Sedimentary Subsection,M242Ag,M242A,M242,4,2
23,M242Ah Southern Coastal Mountains Subsection,M242Ah,M242A,M242,4,2
24,M242Ai High Olympics Subsection,M242Ai,M242A,M242,4,2
25,M242B Western Cascades Section,M242B,M242B,M242,5,2
26,M242Ba West Cascade Slope Forest Subsection,M242Ba,M242B,M242,5,2
27,M242Bb Western Cascades Highland Forest Subsection,M242Bb,M242B,M242,5,2
28,M242Bc Cascade Crest Forest and Volcanic Peaks Subsection,M242Bc,M242B,M242,5,2
29,M242Be Southern Oregon Cascade Highlands Subsection,M242Be,M242B,M242,5,2
30,M242Bg Southern Oregon Cascades Subsection,M242Bg,M242B,M242,5,2
31,M242C Eastern Cascades Section,M242C,M242C,M242,6,2
32,M242Ca Yakima Plateau and Slopes Subsection,M242Ca,M242C,M242,6,2
33,M242Cb Grand Fir Foothills Subsection,M242Cb,M242C,M242,6,2
34,M242Cc Pine-Oak Foothills Subsection,M242Cc,M242C,M242,6,2
35,M242Cd Ponderosa Pine-Bitterbrush Woodland Subsection,M242Cd,M242C,M242,6,2
36,M242Ce Pumice Plateau Forest Subsection,M242Ce,M242C,M242,6,2
37,M242Cf Cold Wet Pumice Plateau Basins Subsection,M242Cf,M242C,M242,6,2
38,M242D Northern Cascades Section,M242D,M242D,M242,7,2
39,M242Da North Cascades Lowland Forests Subsection,M242Da,M242D,M242,7,2
40,M242Db North Cascades Highland Forests Subsection,M242Db,M242D,M242,7,2
41,M242Dd Pasayten-Sawtooth Highlands Subsection,M242Dd,M242D,M242,7,2
42,M242De Okanogan Pine-Fir Hills Subsection,M242De,M242D,M242,7,2
43,M242Df Chelan Tephra Hills Subsection,M242Df,M242D,M242,7,2
44,M242Dg Wenatchee-Chelan Highlands Subsection,M242Dg,M242D,M242,7,2
45,M242Dh Chiwaukum Hills and Lowlands Subsection,M242Dh,M242D,M242,7,2
46,261 California Coastal Chaparral Forest and Shrub Province,261,261,261,8,3
47,261A Central California Coast Section,261A,261A,261,9,3
48,261Aa Suisun Hills and Valleys Subsection,261Aa,261A,261,9,3
49,261Ab East Bay Terraces and Alluvium Subsection,261Ab,261A,261,9,3
50,261Ac East Bay Hills-Mt. Diablo Subsection,261Ac,261A,261,9,3
51,261Ae Santa Clara Valley Subsection,261Ae,261A,261,9,3
52,261Af Santa Cruz Mountains Subsection,261Af,261A,261,9,3
53,261Ag Leeward Hills Subsection,261Ag,261A,261,9,3
54,261Ah Watsonville Plain-Salinas Valley Subsection,261Ah,261A,261,9,3
55,261Aj North Costal Santa Lucia Range Subsection,261Aj,261A,261,9,3
56,261Ak South Costal Santa Lucia Range Subsection,261Ak,261A,261,9,3
57,261Al Santa Maria Valley Subsection,261Al,261A,261,9,3
58,261B Southern California Coast Section,261B,261B,261,10,3
59,261Ba Santa Ynez Valleys and Hills Subsection,261Ba,261B,261,10,3
60,261Bb Santa Ynez-Sulphur Mountains Subsection,261Bb,261B,261,10,3
61,261Bc Northern Channel Islands Subsection,261Bc,261B,261,10,3
62,261Bd Oxnard Plain-Santa Paula Valley Subsection,261Bd,261B,261,10,3
63,261Be Simi Valley-Santa Susana Mountains Subsection,261Be,261B,261,10,3
64,261Bf Santa Monica Mountains Subsection,261Bf,261B,261,10,3
65,261Bg Los Angeles Plain Subsection,261Bg,261B,261,10,3
66,261Bh Southern Channel Islands Subsection,261Bh,261B,261,10,3
67,261Bi Coastal Hills Subsection,261Bi,261B,261,10,3
68,261Bj Coastal Terraces Subsection,261Bj,261B,261,10,3
69,262 California Dry Steppe Province,262,262,262,11,4
70,262A Great Valley Section,262A,262A,262,12,4
71,262Aa North Valley Alluvium Subsection,262Aa,262A,262,12,4
72,262Ac Butte Sink-Sutter Basin Subsection,262Ac,262A,262,12,4
73,262Ad Colusa Basin Subsection,262Ad,262A,262,12,4
74,262Af River Alluvium Subsection,262Af,262A,262,12,4
75,262Ag Hardpan Terraces Subsection,262Ag,262A,262,12,4
76,262Ah Yolo Alluvial Fans Subsection,262Ah,262A,262,12,4
77,262Ai Yolo-American Basins Subsection,262Ai,262A,262,12,4
78,262Aj Delta Basins Subsection,262Aj,262A,262,12,4
79,262Al Delta Subsection,262Al,262A,262,12,4
80,262Ao Camanche Terraces Subsection,262Ao,262A,262,12,4
81,262Aq Westside Alluvial Fans and Terraces Subsection,262Aq,262A,262,12,4
82,262As Manteca-Merced Alluvium Subsection,262As,262A,262,12,4
83,262At San Joaquin Basin Subsection,262At,262A,262,12,4
84,262Au Granitic Alluvial Fans and Terraces Subsection,262Au,262A,262,12,4
85,262Av Tulare Basin Subsection,262Av,262A,262,12,4
86,262Aw Panoche and Cantua Fans and Basins Subsection,262Aw,262A,262,12,4
87,262Ax Antelope Plain Subsection,262Ax,262A,262,12,4
88,262Ay South Valley Alluvium and Basins Subsection,262Ay,262A,262,12,4
89,262Az Elk Hills and South Valley Terraces Subsection,262Az,262A,262,12,4
90,"263 California Coastal Steppe - Mixed Forest, and Redwood Forest Province",263,263,263,13,5
91,263A Northern California Coast Section,263A,263A,263,14,5
92,263Ab Northern Franciscan Redwood Forest Subsection,263Ab,263A,263,14,5
93,263Ae Humboldt Bay Flats and Terraces Subsection,263Ae,263A,263,14,5
94,263Af Central Franciscan Subsection,263Af,263A,263,14,5
95,263Ag Coastal Franciscan Subsection,263Ag,263A,263,14,5
96,263Aj Coastal Hills-Santa Rosa Plain Subsection,263Aj,263A,263,14,5
97,263Al Marin Hills and Valleys Subsection,263Al,263A,263,14,5
98,263Am Mount St. Helena Flows and Valleys Subsection,263Am,263A,263,14,5
99,M261 Sierran Steppe - Mixed Forest - Coniferous Forest - Alpine Meadow Province,M261,M261,M261,15,6
100,M261A Klamath Mountains Section,M261A,M261A,M261,16,6
101,M261Aa Siskiyou Serpentine Subsection,M261Aa,M261A,M261,16,6
102,M261Ab Gasquet Mountain Ultramafics Subsection,M261Ab,M261A,M261,16,6
103,M261Ac Oregon Mountain Subsection,M261Ac,M261A,M261,16,6
104,M261Ad Siskiyou Mountains Subsection,M261Ad,M261A,M261,16,6
105,M261Ae Klamath River Ridges Subsection,M261Ae,M261A,M261,16,6
106,M261Af Lower Salmon Mountains Subsection,M261Af,M261A,M261,16,6
107,M261Ag Upper Salmon Mountains Subsection,M261Ag,M261A,M261,16,6
108,M261Ah Scott Valley Subsection,M261Ah,M261A,M261,16,6
109,M261Ai Eastern Klamath Mountains Subsection,M261Ai,M261A,M261,16,6
110,M261Aj Upper Scott Mountains Subsection,M261Aj,M261A,M261,16,6
111,M261Ao Inland Siskiyous Subsection,M261Ao,M261A,M261,16,6
112,M261Ap Forks of Salmon Subsection,M261Ap,M261A,M261,16,6
113,M261Aq North Trinity Mountain Subsection,M261Aq,M261A,M261,16,6
114,M261Ar Trinity Mountain-Hayfork Subsection,M261Ar,M261A,M261,16,6
115,M261Au Rattlesnake Creek Subsection,M261Au,M261A,M261,16,6
116,M261Av Rogue-Illinois Valleys and Foothills Subsection,M261Av,M261A,M261,16,6
117,M261Ax Umpqua Interior Foothills Subsection,M261Ax,M261A,M261,16,6
118,M261Ay Coastal Siskiyous Subsection,M261Ay,M261A,M261,16,6
119,M261B Northern California Coast Ranges Section,M261B,M261B,M261,17,6
120,M261Ba Eastern Franciscan Subsection,M261Ba,M261B,M261,17,6
121,M261Bb Central Franciscan Subsection,M261Bb,M261B,M261,17,6
122,M261Bd Clear Lake Hills and Valleys Subsection,M261Bd,M261B,M261,17,6
123,M261Bf Ultrabasic Complex Subsection,M261Bf,M261B,M261,17,6
124,M261C Northern California Interior Coast Ranges Section,M261C,M261C,M261,18,6
125,M261Ca Western Foothills Subsection,M261Ca,M261C,M261,18,6
126,M261Cb Tehama Terraces Subsection,M261Cb,M261C,M261,18,6
127,M261Cc Dunnigan Hills Subsection,M261Cc,M261C,M261,18,6
128,M261D Southern Cascades Section,M261D,M261D,M261,19,6
129,M261Da Old Cascades Subsection,M261Da,M261D,M261,19,6
130,M261Db Shasta Valley Subsection,M261Db,M261D,M261,19,6
131,M261Dd Blacks Mountain-Susanville Peak Subsection,M261Dd,M261D,M261,19,6
132,M261Df High Cascade Subsection,M261Df,M261D,M261,19,6
133,M261Dh Medicine Lake Lava Flows Subsection,M261Dh,M261D,M261,19,6
134,M261Di Medicine Lake Highlands Subsection,M261Di,M261D,M261,19,6
135,M261Dj Hat Creek Rim Subsection,M261Dj,M261D,M261,19,6
136,M261Dl Shingletown-Paradise Subsection,M261Dl,M261D,M261,19,6
137,M261Dm Lassen-Almanor Subsection,M261Dm,M261D,M261,19,6
138,M261E Sierra Nevada Section,M261E,M261E,M261,20,6
139,M261Ea Diamond Mountains-Crystal Peak Subsection,M261Ea,M261E,M261,20,6
140,M261Eb Fredonyer Butte-Grizzly Peak Subsection,M261Eb,M261E,M261,20,6
141,M261Ec Frenchman Subsection,M261Ec,M261E,M261,20,6
142,M261Ed Greenville-Graeagle Subsection,M261Ed,M261E,M261,20,6
143,M261Ee Bucks Lake Subsection,M261Ee,M261E,M261,20,6
144,M261Ef Granitic and Metamorphic Foothills Subsection,M261Ef,M261E,M261,20,6
145,M261Eg Upper Foothills Metamorphic Belt Subsection,M261Eg,M261E,M261,20,6
146,M261Eh Upper Batholith and Volcanic Flows Subsection,M261Eh,M261E,M261,20,6
147,M261Ei Sierra Valley Subsection,M261Ei,M261E,M261,20,6
148,M261Ej Tahoe-Truckee Subsection,M261Ej,M261E,M261,20,6
149,M261Ek Glaciated Batholith and Volcanic Flows Subsection,M261Ek,M261E,M261,20,6
150,M261El Tahoe Valley Subsection,M261El,M261E,M261,20,6
151,M261Em Batholith and Volcanic Flows Subsection,M261Em,M261E,M261,20,6
152,M261Eo Glaciated Batholith Subsection,M261Eo,M261E,M261,20,6
153,M261Ep Lower Batholith Subsection,M261Ep,M261E,M261,20,6
154,M261Eq Upper Batholith Subsection,M261Eq,M261E,M261,20,6
155,M261Er Eastern Slopes Subsection,M261Er,M261E,M261,20,6
156,M261Es Tehachapi-Piute Mountains Subsection,M261Es,M261E,M261,20,6
157,M261Et Carson Range Subsection,M261Et,M261E,M261,20,6
